,year,org_id,loan_amt,entity_structure,total_proj_cost,food_desert,food_desert_2,hffi_year,proj_desc,bus_type,activity,activity_other,latitude,longitude,street,address_2,city,state,zipcode,zipcode_4,fips,address,location,point,lat,long,alt
498,2013,497,3000000.0,FORPROFIT,32500000.0,TRF,,,Grocery Store (Non-FFFI),RETAIL,,,,,4601 Liberty Heights Ave,,Baltimore,MD,21207.0,,24510280200.0,"4601 Liberty Heights Ave,Baltimore,MD,21207","4601, Liberty Heights Avenue, Forest Park, Baltimore, Maryland, 21207, United States of America","(39.330894, -76.694447, 0.0)",39.330894,-76.694447,0.0
500,2013,3416,99999.0,FORPROFIT,99999.0,ERS,,,Farm,NONRETAIL,,,,,3758 Jacksonville Road,,Tallapoosa,GA,30176.0,,,"3758 Jacksonville Road,Tallapoosa,GA,30176","Jacksonville Road, Old Tallapoosa, Haralson County, Georgia, 30176, United States of America","(33.7858699, -85.320914, 0.0)",33.7858699,-85.320914,0.0
501,2013,3416,135000.0,FORPROFIT,135000.0,ERS,,,Farm,NONRETAIL,,,,,3758 Jacksonville Road,,Tallapoosa,GA,30176.0,,,"3758 Jacksonville Road,Tallapoosa,GA,30176","Jacksonville Road, Old Tallapoosa, Haralson County, Georgia, 30176, United States of America","(33.7858699, -85.320914, 0.0)",33.7858699,-85.320914,0.0
502,2013,3416,167398.0,FORPROFIT,167398.0,ERS,,,Corner Market,RETAIL,,,,,628 South Central Avenue,,Atlanta,GA,30354.0,,13121010800.0,"628 South Central Avenue,Atlanta,GA,30354","628, Central Avenue, Oak Forest, Jarrard, Clayton County, Georgia, 30236, United States of America","(33.548031, -84.36829224, 0.0)",33.548031,-84.36829224,0.0
504,2013,3416,1000.0,FORPROFIT,50000.0,ERS,,,Farmers Market,RETAIL,,,,,3353 Washington Road,,East Point,GA,30304.0,,,"3353 Washington Road,East Point,GA,30304","3353, Washington Road, Golden Acres, Egan Park, East Point, Fulton County, Georgia, 30344, United States of America","(33.664434650000004, -84.46797758137036, 0.0)",33.664434650000004,-84.46797758137036,0.0
505,2013,3416,49000.0,FORPROFIT,50000.0,ERS,,,Farm,NONRETAIL,,,,,3353 Washington Road,,East Point,GA,30304.0,,,"3353 Washington Road,East Point,GA,30304","3353, Washington Road, Golden Acres, Egan Park, East Point, Fulton County, Georgia, 30344, United States of America","(33.664434650000004, -84.46797758137036, 0.0)",33.664434650000004,-84.46797758137036,0.0
510,2014,1985,40950.0,FORPROFIT,40950.0,OTHER,USDA Food Atlas 2012,,Restr srvg local produce for immediate consumption; LA/LI area,NONRETAIL,,,,,400 East 20th Avenue,,"Denver,",CO,80205.0,,8031002601.0,"400 East 20th Avenue,Denver,,CO,80205","400, East 20th Avenue, Clement, Denver, Denver County, Colorado, 80205, United States of America","(39.74739475, -104.98196629779665, 0.0)",39.74739475,-104.98196629779665,0.0
512,2014,1985,35804.0,FORPROFIT,35804.0,ERS,,,Food truck spec. in local veg and protein; promoting consumption where access is limited.,NONRETAIL,,,,,3760 South Peyton Highway,,Colorado Springs,CO,80930.0,,,"3760 South Peyton Highway,Colorado Springs,CO,80930","3760, South Peyton Highway, El Paso County, Colorado, 80930, United States of America","(38.776603355469554, -104.46035782402946, 0.0)",38.776603355469554,-104.46035782402946,0.0
513,2014,1985,51375.0,FORPROFIT,51375.0,ERS,,,Healthy foods production sale,NONRETAIL,,,,,6333 Arapahoe Road,,Boulder,CO,80303.0,,,"6333 Arapahoe Road,Boulder,CO,80303","Arapahoe Road, Boulder, Boulder County, Colorado, 80303-1229, United States of America","(40.0146212, -105.2059753, 0.0)",40.0146212,-105.2059753,0.0
514,2014,1985,15400.0,FORPROFIT,15400.0,OTHER,USDA Food Atlas 2012,,Yogurt manf distrbt?g and retail. Promote consumption. LI/LA adjacent.,NONRETAIL,,,,,5604 Kendall Court,,Arvada,CO,80002.0,,,"5604 Kendall Court,Arvada,CO,80002","5604, Kendall Court, Arvada, Jefferson County, Colorado, 80002, United States of America","(39.79852, -105.06589830612245, 0.0)",39.79852,-105.06589830612245,0.0
